pinx,sale_id,sale_price,sale_date,use_type,area,lot_sf,wfnt,bldg_grade,tot_sf,beds,baths,age,eff_age,longitude,latitude
..0007600046,2011..2621,308900,2011-02-22,sfr,15,5160,0,7,2290,8,4.5,12,12,-122.302031679455,47.6039129139299
..0007600054,2010..16414,369950,2010-08-24,sfr,15,4061,0,8,1550,3,1.5,103,103,-122.302029799839,47.6030443718818
..0007600057,2014..23738,520000,2014-08-05,sfr,15,2700,0,7,1410,3,2.0,112,112,-122.302113751761,47.6028748200792
..0007600057,2016..28612,625000,2016-08-22,sfr,15,2700,0,7,1410,3,2.0,114,114,-122.302113751761,47.6028748200792
..0007600065,2014..15956,465000,2014-06-05,townhouse,15,1245,0,9,1530,3,2.25,0,0,-122.297278096185,47.6018119509527
..0007600066,2014..17941,499999,2014-06-20,townhouse,15,1057,0,9,1520,3,2.25,0,0,-122.297178490954,47.6018117397719
..0007600067,2014..25335,469900,2014-08-14,townhouse,15,1274,0,9,1680,3,1.75,0,0,-122.297231763622,47.6019117068696
..0007600068,2014..25339,480000,2014-08-12,townhouse,15,2327,0,9,1680,3,1.75,0,0,-122.297231957998,47.6020118947038
..0007600093,2013..33155,705000,2013-10-08,sfr,15,7320,0,8,2120,3,2.75,112,112,-122.301528871254,47.6021689716634
..0007600113,2016..29781,850000,2016-08-22,sfr,15,5040,0,6,2220,5,2.0,112,112,-122.297287560833,47.6013927774907
..0007600119,2013..16956,535000,2013-06-05,sfr,15,5750,0,8,3080,4,2.0,102,102,-122.294445110109,47.6013900541392
..0007600136,2014..21206,411000,2014-07-18,townhouse,15,1148,0,9,1130,2,2.0,7,7,-122.313521483556,47.6023634793491
..0007600139,2015..42300,559000,2015-12-12,townhouse,15,1386,0,9,1360,2,2.0,8,8,-122.3137004439,47.6023459003348
..0007600141,2016..43739,650000,2016-12-19,townhouse,15,1012,0,9,1630,3,1.75,0,0,-122.313437034674,47.602532559012
..0007600143,2016..37914,725000,2016-10-18,townhouse,15,1275,0,9,1650,3,2.0,0,0,-122.313437057843,47.6023762598922
..0007600146,2016..43119,687000,2016-12-13,townhouse,15,1307,0,9,1650,3,2.0,0,0,-122.313356899892,47.6023784391097
..0007600168,2015..43464,699950,2015-12-17,townhouse,15,1366,0,9,1960,3,2.5,0,0,-122.2947574249,47.6015221028684
..0007600169,2015..42672,699950,2015-12-17,townhouse,15,1625,0,9,1960,3,2.25,0,0,-122.294759159409,47.6014366169849
..0007600170,2015..44173,719950,2015-12-17,townhouse,15,1935,0,9,2130,4,2.5,0,0,-122.294598274885,47.6014761657838
..0007600172,2015..43511,699950,2015-12-28,townhouse,15,1616,0,9,1780,3,2.25,0,0,-122.294763305186,47.6013440135463
..0007600173,2016..956,724950,2016-01-14,townhouse,15,1377,0,9,1960,3,2.5,1,1,-122.294764769638,47.6012585730872
..0007600174,2015..43497,724914,2015-12-28,townhouse,15,1932,0,9,2130,4,2.5,0,0,-122.294603868524,47.6013054328155
..0007600179,2011..3198,200000,2011-02-22,sfr,15,3500,0,7,1080,3,1.5,91,91,-122.299638539343,47.6038023001025
..0007600180,2010..6124,200000,2010-04-14,sfr,15,3500,0,7,700,1,1.0,49,49,-122.299639569048,47.6037063508357
..0007600203,2013..23161,450000,2013-07-22,sfr,15,3485,0,7,2620,4,1.5,93,93,-122.301458680016,47.603255186652
..0007600206,2013..5484,389000,2013-03-12,townhouse,15,1364,0,8,1470,3,2.5,6,6,-122.314722308697,47.6023275985079
..0007600218,2013..24096,345000,2013-07-22,townhouse,15,924,0,8,1250,2,1.5,6,6,-122.314722576172,47.6022791699649
..0007600219,2013..6150,389000,2013-03-12,townhouse,15,1320,0,8,1470,3,2.5,6,6,-122.314722842625,47.6022307434783
